pdv_anonimizado,codigo_barras_sku,first_date,last_date,history_days,fill_rate,fill_rate_last_30,fill_rate_last_90,fill_rate_last_120,total_sales,mean_sales,days_since_last_sale,global_max_date,series_class
1,7897395020200,2022-12-06,2024-12-08,734,0.315,0.4,0.3,0.308,338.0,0.46,2,2024-12-10,C
1,7897395020217,2024-11-30,2024-11-30,1,1.0,1.0,1.0,1.0,1.0,1.0,10,2024-12-10,C
1,7897395020347,2022-12-13,2023-03-02,80,0.062,0.133,0.062,0.062,6.0,0.08,649,2024-12-10,D
1,7897395040390,2022-12-01,2024-12-09,740,0.897,0.967,0.922,0.9,13365.0,18.06,1,2024-12-10,A
1,7897395040406,2022-12-09,2024-01-02,390,0.021,0.1,0.044,0.033,11.0,0.03,343,2024-12-10,D
1,7897395040659,2024-05-07,2024-12-05,213,0.23,0.6,0.333,0.275,166.0,0.78,5,2024-12-10,C
1,7897395040666,2024-11-03,2024-11-03,1,1.0,1.0,1.0,1.0,1.0,1.0,37,2024-12-10,D
1,7897395060107,2022-12-01,2024-12-09,740,0.977,1.0,1.0,1.0,62051.0,83.85,1,2024-12-10,A
1,7897395060138,2022-12-05,2024-11-29,726,0.118,0.333,0.2,0.217,116.0,0.16,11,2024-12-10,C
1,7897395060237,2022-12-01,2024-12-09,740,0.703,0.967,0.9,0.892,6148.0,8.31,1,2024-12-10,B
1,7897395060244,2022-12-24,2024-09-15,632,0.006,0.033,0.011,0.008,5.0,0.01,86,2024-12-10,D
1,7897395099329,2022-12-01,2024-12-09,740,0.927,1.0,1.0,1.0,18821.0,25.43,1,2024-12-10,A
1,7897395099336,2022-12-01,2024-12-09,740,0.793,0.933,0.944,0.958,3425.0,4.63,1,2024-12-10,B
1,7897395099367,2022-12-30,2023-10-05,280,0.086,0.067,0.122,0.092,60.0,0.21,432,2024-12-10,D
1,7897395099664,2023-08-20,2024-12-07,476,0.155,0.067,0.056,0.042,101.0,0.21,3,2024-12-10,C
1,7897395099695,2023-08-12,2024-12-10,487,0.719,0.833,0.8,0.758,3484.0,7.15,0,2024-12-10,B
1,7897516700134,2022-12-13,2024-12-10,729,0.646,1.0,0.989,0.892,10147.0,13.92,0,2024-12-10,B
1,7897516700141,2022-12-01,2024-12-09,740,0.951,1.0,1.0,1.0,15809.0,21.36,1,2024-12-10,A
1,7897516700462,2022-12-01,2024-12-09,740,0.888,1.0,0.967,0.908,3960.0,5.35,1,2024-12-10,A
1,7898099394055,2022-12-02,2023-07-09,220,0.214,0.433,0.233,0.217,117.0,0.53,520,2024-12-10,D
1,7898099394642,2022-12-06,2023-03-02,87,0.092,0.033,0.092,0.092,11.0,0.13,649,2024-12-10,D
1,7898099396257,2023-04-01,2024-12-09,619,0.296,0.533,0.433,0.475,537.0,0.87,1,2024-12-10,C
1,7898230710102,2022-12-03,2024-12-09,738,0.314,0.433,0.433,0.425,576.0,0.78,1,2024-12-10,C
1,7898230710201,2022-12-01,2024-12-08,739,0.43,0.3,0.344,0.367,743.0,1.01,2,2024-12-10,C
1,7898230715213,2022-12-06,2024-12-08,734,0.316,0.367,0.311,0.342,468.0,0.64,2,2024-12-10,C
1,7898230715558,2022-12-01,2024-12-08,739,0.414,0.467,0.433,0.483,654.0,0.88,2,2024-12-10,C
1,7898230716616,2022-12-01,2024-10-20,690,0.265,0.4,0.378,0.292,493.0,0.71,51,2024-12-10,D
1,7898230716623,2022-12-19,2024-09-25,647,0.034,0.1,0.044,0.033,27.0,0.04,76,2024-12-10,D
1,7898230716630,2022-12-02,2024-12-07,737,0.373,0.233,0.456,0.5,827.0,1.12,3,2024-12-10,C
1,7898230716647,2022-12-24,2024-08-31,617,0.026,0.033,0.011,0.008,17.0,0.03,101,2024-12-10,D
1,7898230716654,2022-12-02,2024-10-18,687,0.536,1.0,0.856,0.817,1354.0,1.97,53,2024-12-10,D
1,7898230716661,2022-12-23,2024-10-06,654,0.084,0.033,0.056,0.05,74.0,0.11,65,2024-12-10,D
1,7898230716708,2022-12-02,2023-04-30,150,0.613,0.733,0.622,0.6,491.0,3.27,590,2024-12-10,D
1,7898230716715,2023-04-05,2023-04-07,3,1.0,1.0,1.0,1.0,46.0,15.33,613,2024-12-10,D
1,7898230716722,2022-12-03,2024-12-09,738,0.241,0.3,0.544,0.567,495.0,0.67,1,2024-12-10,C
1,7898230716753,2022-12-27,2023-11-19,328,0.445,0.367,0.389,0.433,322.0,0.98,387,2024-12-10,D
1,7898230716784,2022-12-03,2024-12-08,737,0.49,0.467,0.644,0.65,1334.0,1.81,2,2024-12-10,C
1,7898235984140,2022-12-04,2023-11-14,346,0.118,0.167,0.156,0.133,65.0,0.19,392,2024-12-10,D
1,7898235984157,2022-12-03,2023-07-28,238,0.088,0.1,0.067,0.067,30.0,0.13,501,2024-12-10,D
1,7898367980010,2022-12-01,2024-07-17,595,0.353,0.233,0.211,0.233,639.0,1.07,146,2024-12-10,D
1,7898367980034,2022-12-02,2023-07-16,227,0.216,0.2,0.133,0.1,113.0,0.5,513,2024-12-10,D
1,7898367980041,2022-12-03,2024-12-08,737,0.469,0.567,0.589,0.508,1108.0,1.5,2,2024-12-10,C
1,7898367980058,2022-12-03,2024-03-15,469,0.034,0.067,0.078,0.058,23.0,0.05,270,2024-12-10,D
1,7898367983615,2022-12-30,2023-08-25,239,0.084,0.133,0.089,0.075,54.0,0.23,473,2024-12-10,D
1,7898367983790,2022-12-02,2024-11-30,730,0.666,0.9,0.8,0.792,4465.0,6.12,10,2024-12-10,B
1,7898367983813,2022-12-01,2024-10-14,684,0.509,0.2,0.411,0.333,1193.0,1.74,57,2024-12-10,D
1,7898367984018,2022-12-08,2024-11-28,722,0.26,0.633,0.511,0.433,376.0,0.52,12,2024-12-10,C
1,7898367984056,2022-12-02,2024-12-08,738,0.581,0.4,0.389,0.383,2126.0,2.88,2,2024-12-10,C
1,7898367984070,2022-12-03,2024-12-08,737,0.041,0.2,0.111,0.083,91.0,0.12,2,2024-12-10,C
1,7898367984117,2022-12-21,2024-12-08,719,0.054,0.133,0.067,0.092,294.0,0.41,2,2024-12-10,C
